Time,Angle_rad,Center_X,Center_Y,Confidence
2.9,-0.19437567,196.4466,479.2629,1
2.905,-0.197742119,189.5125,478.2076,1
2.91,-0.200287163,184.2734,477.5471,1
2.915,-0.204236678,176.1485,475.4059,1
2.92,-0.207527463,169.3838,473.6893,1
2.925,-0.210978994,162.2937,472.5877,1
2.93,-0.213366241,157.3929,470.9117,1
2.935,-0.216921833,150.0983,470.0682,1
2.94,-0.219353263,145.1133,469.7795,1
2.945,-0.222047666,139.5923,467.7158,1
2.95,-0.225023419,133.4987,466.3319,1
2.955,-0.227605745,128.2141,465.5762,1
2.96,-0.229884777,123.5528,463.7217,1
2.965,-0.231640998,119.9625,463.1831,1
2.97,-0.234283916,114.5623,461.8324,1
2.975,-0.236433953,110.1717,460.8349,1
2.98,-0.238625683,105.6983,459.3074,1
2.985,-0.24051218,101.8498,458.3414,1
2.99,-0.242513159,97.7697,457.577,1
2.995,-0.243685536,95.3801,456.3906,1
3,-0.245700462,91.2748,455.3394,1
3.005,-0.247860818,86.8755,454.8623,1
3.01,-0.249262908,84.0216,454.5225,1
3.015,-0.250512186,81.4796,454.5207,1
3.02,-0.25152468,79.42,453.4519,1
3.025,-0.252900493,76.6222,452.6364,1
3.03,-0.255258039,71.8303,451.2469,1
3.035,-0.25610382,70.1119,451.0348,1
3.04,-0.256527076,69.2521,450.7348,1
3.045,-0.257223449,67.8377,450.733,1
3.05,-0.257766496,66.7349,450.8188,1
3.055,-0.258082077,66.0941,450.6489,1
3.06,-0.25834587,65.5585,450.3652,1
3.065,-0.258508509,65.2283,450.3416,1
