Frame,Time_Sec,Center_X,Center_Y,Angle_rad
459,2.2950,435.2533,363.7341,-0.0795
460,2.3000,383.0683,363.5766,-0.1045
461,2.3050,331.2782,361.4694,-0.1293
462,2.3100,288.2449,358.6530,-0.1500
463,2.3150,241.0293,353.4874,-0.1728
464,2.3200,198.6915,347.8615,-0.1933
465,2.3250,165.3187,342.1338,-0.2095
466,2.3300,130.9568,335.9027,-0.2263
467,2.3350,103.8093,330.4540,-0.2396
468,2.3400,85.2531,325.4266,-0.2487
469,2.3450,70.3240,323.4644,-0.2560
470,2.3500,60.7002,321.4653,-0.2607
471,2.3550,59.9590,319.5543,-0.2611
472,2.3600,62.4707,322.6317,-0.2599
473,2.3650,76.3204,324.4861,-0.2530
474,2.3700,91.9106,329.4873,-0.2454
475,2.3750,115.3975,334.0280,-0.2339
476,2.3800,150.0478,341.6690,-0.2169
477,2.3850,182.0404,346.0864,-0.2014
478,2.3900,229.0596,352.3911,-0.1786
479,2.3950,275.2881,358.0238,-0.1562
480,2.4000,317.1452,361.0980,-0.1361
481,2.4050,369.0311,363.3629,-0.1112
482,2.4100,419.0860,364.1305,-0.0872
483,2.4150,464.0494,363.5606,-0.0658
484,2.4200,514.6910,362.3058,-0.0416
485,2.4250,564.8489,355.9576,-0.0177
486,2.4300,604.9266,351.5002,0.0014
487,2.4350,645.4658,345.7860,0.0207
488,2.4400,689.3100,337.0744,0.0416
489,2.4450,718.1783,330.8127,0.0553
490,2.4500,745.2838,325.4734,0.0682
491,2.4550,766.4105,320.0511,0.0783
492,2.4600,778.5292,315.4288,0.0841
493,2.4650,787.1368,313.5931,0.0882
494,2.4700,789.1530,313.6758,0.0892
495,2.4750,785.6190,314.4689,0.0875
496,2.4800,774.0317,319.3611,0.0820
497,2.4850,754.2881,325.2803,0.0725
498,2.4900,733.4905,329.5251,0.0626
499,2.4950,704.1790,336.4298,0.0486
500,2.5000,669.0981,343.5735,0.0319
501,2.5050,634.7684,348.6017,0.0156
502,2.5100,590.1349,354.1745,-0.0057
503,2.5150,543.1013,359.5483,-0.0281
504,2.5200,498.9556,362.6132,-0.0491
505,2.5250,448.6457,363.3490,-0.0731
506,2.5300,396.7719,364.4524,-0.0979
507,2.5350,344.8090,362.6742,-0.1228
508,2.5400,294.2298,358.4059,-0.1471
509,2.5450,248.3553,354.1570,-0.1692
510,2.5500,209.9880,349.5594,-0.1878
